id,title,summary,published,url,created_at
169516,"Louis Tomlinson, Nick Cave and Franz Ferdinand pull Russian tour dates","Louis Tomlinson, Nick Cave and Franz Ferdinand have scrapped shows due to the conflict in Ukraine.",2022-03-01 15:06:24 UTC,https://www.bbc.co.uk/news/entertainment-arts-60567973?at_medium=RSS&at_campaign=KARANGA,2022-03-01 16:00:08 UTC
169513,Russian oligarch Fridman warns sanctions will not stop war,But Mikhail Fridman avoids criticising President Putin as it could be risky for himself and staff.,2022-03-01 15:13:31 UTC,https://www.bbc.co.uk/news/business-60557081?at_medium=RSS&at_campaign=KARANGA,2022-03-01 16:00:07 UTC
169518,Ukraine conflict: UK relaxes visa rules for refugees,The changes were made following criticism that the UK isn't doing enough for people fleeing the war.,2022-03-01 15:15:21 UTC,https://www.bbc.co.uk/news/uk-politics-60569292?at_medium=RSS&at_campaign=KARANGA,2022-03-01 17:00:10 UTC
169536,Chelsea's Thomas Tuchel voices frustration over Roman Abramovich questions,Chelsea manager Thomas Tuchel voices his frustration with journalists asking about Roman Abramovich in relation to his ownership of the club and the conflict in Ukraine.,2022-03-01 15:46:09 UTC,https://www.bbc.co.uk/sport/av/football/60577456?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:08 UTC
169517,Banning Russian athletes from sport 'unfair' - former F1 driver Kvyat,"Excluding Russian athletes from sport because of the country's invasion of Ukraine is an ""unfair solution"", says former Formula One driver Daniil Kvyat.",2022-03-01 15:48:13 UTC,https://www.bbc.co.uk/sport/formula1/60561184?at_medium=RSS&at_campaign=KARANGA,2022-03-01 16:00:08 UTC
169521,Banning Russian athletes from sport 'unfair' - former F1 driver Kvyat,"Excluding Russian athletes from sport because of the country's invasion of Ukraine is an ""unfair solution"", says ex-Formula 1 driver Daniil Kvyat.",2022-03-01 15:48:13 UTC,https://www.bbc.co.uk/sport/formula1/60561184?at_medium=RSS&at_campaign=KARANGA,2022-03-01 17:00:10 UTC
169519,Ukraine conflict: What is a vacuum or thermobaric bomb?,What is a vacuum or thermobaric bomb and are they being used in the war in Ukraine?,2022-03-01 16:17:35 UTC,https://www.bbc.co.uk/news/business-60571395?at_medium=RSS&at_campaign=KARANGA,2022-03-01 17:00:10 UTC
169522,'Of course he doesn't want to go face-to-face' - Fury taunts Whyte after media no-show,"Britain's heavyweight world champion Tyson Fury says compatriot Dillian Whyte is ""terrified"" after he missed the pair's news conference for their fight in April.",2022-03-01 16:19:55 UTC,https://www.bbc.co.uk/sport/boxing/60576934?at_medium=RSS&at_campaign=KARANGA,2022-03-01 17:00:11 UTC
169526,OneWeb pressured to call off Russian rocket launch,The part-government-owned firm OneWeb is due to send up satellites via Kazakhstan this week.,2022-03-01 16:26:51 UTC,https://www.bbc.co.uk/news/uk-politics-60569300?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:09 UTC
169524,Ukraine conflict: Shares fall and oil rises as Russian attacks continue,Stock markets in Europe and the US slid as Russia warned it would strike targets in Ukraine's capital city.,2022-03-01 17:04:58 UTC,https://www.bbc.co.uk/news/business-60557077?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:09 UTC
169527,Simpson: Putin's miscalculations mean he could strike harder,"The Russian leader has always refused to back down in the past, says the BBC's John Simpson.",2022-03-01 17:08:27 UTC,https://www.bbc.co.uk/news/world-60574277?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:09 UTC
169532,John Simpson: Putin's miscalculations mean he could strike harder,"The Russian leader has always refused to back down in the past, says the BBC's John Simpson.",2022-03-01 17:08:27 UTC,https://www.bbc.co.uk/news/world-60574277?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:08 UTC
169525,"MPs to get £2,200 pay rise next month",The 2.7% increase will come in the same week millions of workers face a National Insurance hike.,2022-03-01 17:08:56 UTC,https://www.bbc.co.uk/news/uk-politics-60576639?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:09 UTC
169523,"Ukraine: Vladimir Putin using barbaric tactics, Boris Johnson says","Russia has underestimated Ukraine and the West's resolve, says PM as he meets allies overseas.",2022-03-01 17:25:40 UTC,https://www.bbc.co.uk/news/uk-60565392?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:09 UTC
169528,Musk's Starlink arrives in Ukraine - but what next?,The SpaceX founder sends Starlink dishes to Ukraine but how do they work and how might they be used?,2022-03-01 17:26:46 UTC,https://www.bbc.co.uk/news/technology-60561162?at_medium=RSS&at_campaign=KARANGA,2022-03-01 18:00:10 UTC
169563,Ukraine: Polish communities help people fleeing war,"Communities across Poland, and particularly along the border, are rallying to help people who have fled Ukraine.",2022-03-01 17:41:30 UTC,https://www.bbc.co.uk/news/world-europe-60577667?at_medium=RSS&at_campaign=KARANGA,2022-03-02 01:00:08 UTC
169570,Ukraine conflict: Kyiv TV tower struck by Russian missile,Authorities say five people were killed in the Russian attack on the civilian-run tower in the capital.,2022-03-01 17:46:19 UTC,https://www.bbc.co.uk/news/world-europe-60579847?at_medium=RSS&at_campaign=KARANGA,2022-03-02 02:00:08 UTC
169571,What Americans think of President Biden's Ukraine response,"""This shows America is weak"" - Philadelphians weigh-in on the US response to the war in Ukraine.",2022-03-01 17:48:48 UTC,https://www.bbc.co.uk/news/world-us-canada-60532627?at_medium=RSS&at_campaign=KARANGA,2022-03-02 02:00:08 UTC
169535,"'It's not Bake Off,' quips William baking Welsh cakes",The Duke and Duchess of Cambridge try their hand at baking cakes during visit to Wales.,2022-03-01 17:56:15 UTC,https://www.bbc.co.uk/news/uk-wales-60569281?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:08 UTC
169530,Ukraine conflict: Oil prices hit 7-year high despite emergency measures,Members of the International Energy Agency agreed to release 60 million barrels of oil from stockpiles.,2022-03-01 18:04:01 UTC,https://www.bbc.co.uk/news/business-60557077?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:07 UTC
169533,No-fly zone: What it means and why the West won't act,Ukraine has asked Western powers to consider imposing a no-fly zone to stop Russian air assaults.,2022-03-01 18:05:59 UTC,https://www.bbc.co.uk/news/world-europe-60576443?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:08 UTC
169534,Ukraine help: What can people in the UK do?,Aid charities are working in Ukraine while grassroots groups are ready to support refugees.,2022-03-01 18:19:49 UTC,https://www.bbc.co.uk/news/uk-60562260?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:08 UTC
169531,Compulsory Covid jabs for care home staff in England scrapped,Regulations requiring care workers to be vaccinated against Covid are being lifted from mid-March in England.,2022-03-01 18:35:12 UTC,https://www.bbc.co.uk/news/health-60575519?at_medium=RSS&at_campaign=KARANGA,2022-03-01 19:00:07 UTC
169537,London Tube strike: All lines down after workers walk out,Buses are overwhelmed with passengers and roads are gridlocked due to the RMT union's walkout.,2022-03-01 18:59:14 UTC,https://www.bbc.co.uk/news/uk-60568419?at_medium=RSS&at_campaign=KARANGA,2022-03-01 20:00:09 UTC
169538,"Let us name MI5 agent to protect women, BBC asks High Court",The government wants to stop a BBC report from airing because of fears over national security.,2022-03-01 19:05:36 UTC,https://www.bbc.co.uk/news/uk-60579589?at_medium=RSS&at_campaign=KARANGA,2022-03-01 20:00:09 UTC
169540,"'Don't judge my cooking, it's not Bake Off,' quips William",Prince William struggles in the kitchen on a St David's Day trip to Wales.,2022-03-01 19:29:01 UTC,https://www.bbc.co.uk/news/uk-wales-60576369?at_medium=RSS&at_campaign=KARANGA,2022-03-01 20:00:09 UTC
169545,UK allows emergency use of bee-harming neonicotinoid pesticide,The UK government has authorised the emergency use of a type of pesticide almost entirely banned in the EU because of the harm it can cause to bees.,2022-03-01 19:41:43 UTC,https://www.bbc.co.uk/news/science-environment-60579670?at_medium=RSS&at_campaign=KARANGA,2022-03-01 22:00:07 UTC
169544,Teenage girl seriously hurt in Liverpool shooting,The girl was shot in the Toxteth area of Liverpool and a man suffered a gunshot injury to his hand.,2022-03-01 20:13:44 UTC,https://www.bbc.co.uk/news/uk-england-merseyside-60577776?at_medium=RSS&at_campaign=KARANGA,2022-03-01 22:00:07 UTC
169542,"Ship carrying 4,000 luxury cars sinks off the Azores",A ship carrying thousands of luxury cars has sunk nearly two weeks after it caught fire.,2022-03-01 20:19:22 UTC,https://www.bbc.co.uk/news/business-60579640?at_medium=RSS&at_campaign=KARANGA,2022-03-01 21:00:09 UTC
169546,Colwyn Bay man died after 200-coffee caffeine overdose,Personal trainer Tom Mansfield died after miscalculating the amount of caffeine powder in drink.,2022-03-01 20:28:09 UTC,https://www.bbc.co.uk/news/uk-wales-60570470?at_medium=RSS&at_campaign=KARANGA,2022-03-01 22:00:08 UTC
169541,Ukraine conflict: UK sanctions Belarus for role in Russian invasion,"The foreign secretary says Belarus ""actively aids and abets Russia’s illegal invasion"" of Ukraine.",2022-03-01 20:32:22 UTC,https://www.bbc.co.uk/news/uk-politics-60580294?at_medium=RSS&at_campaign=KARANGA,2022-03-01 21:00:09 UTC
169543,"Russian and Belarusian drivers can compete as neutrals, FIA says",Motorsport's governing body the FIA rules Russian and Belarusian drivers can continue to compete in a neutral capacity.,2022-03-01 20:44:36 UTC,https://www.bbc.co.uk/sport/motorsport/60581292?at_medium=RSS&at_campaign=KARANGA,2022-03-01 21:00:09 UTC
